index,category,subcategory,premise,knowledge,question,question_text,options,value_answer,option_answer,author,GPT3Pred
174,attribute_comparison,train_and_plane,Benjamin travelled to his aunt's place. He uses plane to reach there. Plane covers the distance of 29 miles in some time.,Plane is a faster way of travelling than train,"{'question_text': 'How many miles a train can cover in the same time?', 'options': [{'A': 21}, {'B': 27}, {'C': 18}, {'D': 42}, {'E': 'None'}], 'value_answer': [21, 27, 18], 'option_answer': ['A', 'B', 'C'], 'other': {'given_value': 29, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",How many miles a train can cover in the same time?,"[{'A': 21}, {'B': 27}, {'C': 18}, {'D': 42}, {'E': 'None'}]","[21, 27, 18]","['A', 'B', 'C']",Neeraj,"[21, 27, 18]"
742,attribute_comparison,angle_and_length,The length of the side of a scalene triangle opposite to the largest angle enclosed is 31 meters.,The angles of a triangle are in same relative order as that of their opposite sides length in a triangle.,"{'question_text': 'What could be the length of the side opposite to the other enclosed angles of that triangle?', 'options': [{'A': 32}, {'B': 31}, {'C': 29}, {'D': 35}, {'E': 'None'}], 'value_answer': [29], 'option_answer': ['C'], 'other': {'given_value': 31, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the length of the side opposite to the other enclosed angles of that triangle?,"[{'A': 32}, {'B': 31}, {'C': 29}, {'D': 35}, {'E': 'None'}]",[29],['C'],Sivapriya,"[29, 32, 35]"
1417,non_numerical,pearl,A shop sells  pearls. The shop owner asked Maxwell to collect more pearls for the shop.,Oyster make pearls inside their shell.,"{'question_text': 'What he could be collecting?', 'options': [{'A': 'car'}, {'B': 'sharks'}, {'C': 'oyster'}, {'D': 'crab'}], 'value_answer': ['oyster'], 'option_answer': ['C'], 'other': {}}",What he could be collecting?,"[{'A': 'car'}, {'B': 'sharks'}, {'C': 'oyster'}, {'D': 'crab'}]",['oyster'],['C'],Saurabh,[C]
678,attribute_comparison,heat_length,"Daniel works for a construction firm, he noticed that there were two equal sized iron rods of same length. One of the iron rod was heated and its length increased as compared to the other rod. The length of the rod subjcted to heat became 2 metres.",A  expansion in length is directly proportional to the amount of heat.,"{'question_text': 'What could be the length of non heated rod?', 'options': [{'A': 3}, {'B': 4}, {'C': 2}, {'D': 0}, {'E': 'None'}], 'value_answer': [0], 'option_answer': ['D'], 'other': {'given_value': 2, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the length of non heated rod?,"[{'A': 3}, {'B': 4}, {'C': 2}, {'D': 0}, {'E': 'None'}]",[0],['D'],Sidharth,"[2, 3, 4]"
91,attribute_comparison,gravity,The gravitational pull 1000 units above the Earth's surface is 8. ,Gravitational pull decreases as the distance from Earth increases,"{'question_text': ""What could be the gravitational pull 6000 units above the Earth's surface?"", 'options': [{'A': 8}, {'B': 12}, {'C': 11}, {'D': 3}], 'value_answer': [3], 'option_answer': ['D'], 'other': {'given_value': 8, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the gravitational pull 6000 units above the Earth's surface?,"[{'A': 8}, {'B': 12}, {'C': 11}, {'D': 3}]",[3],['D'],Neeraj,"[8, 11]"
745,attribute_comparison,airthmetic_mean_and_geometric_mean,Nathan was finding the geometric mean and arithmetic mean of a series in his exercise. The geometric mean is 78.,Arithmetic mean is greater than or equal to Geometric mean.,"{'question_text': 'What could be the arithmetic mean of the series?', 'options': [{'A': 75}, {'B': 85}, {'C': 71}, {'D': 68}], 'value_answer': [85], 'option_answer': ['B'], 'other': {'given_value': 78, 'more_is_correct_flag': True, 'equal_is_correct_flag': True}}",What could be the arithmetic mean of the series?,"[{'A': 75}, {'B': 85}, {'C': 71}, {'D': 68}]",[85],['B'],Sivapriya,"[75, 85]"
499,attribute_comparison,compressibility_and_density,"David wants to store two gases in separate containers. To determine the amount of gas that can be stored in the containers, he needs to understand the relation between the compressibility factor and density of gas. The compressibility factor of gas with higher density is 16 units.",Compressibility factor is inversely proportional to density at constant pressure and temperature of the gas.,"{'question_text': 'What could be the compressibility factor of the other gas?', 'options': [{'A': 10}, {'B': 13}, {'C': 25}, {'D': 23}], 'value_answer': [25, 23], 'option_answer': ['C', 'D'], 'other': {'given_value': 16, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the compressibility factor of the other gas?,"[{'A': 10}, {'B': 13}, {'C': 25}, {'D': 23}]","[25, 23]","['C', 'D']",Yamini,"[10, 13, 23]"
686,attribute_comparison,length_of_wire,Dylan is making two wires of the same aluminium thickness. The amount of aluminium used in the first wire was more than the other wire. The length of that wire is 5 meters.,Amount of material required is directly proportional to the length of wire.,"{'question_text': 'What could be the length of the other wire?', 'options': [{'A': 3}, {'B': 6}, {'C': 4}, {'D': 5}, {'E': 'None'}], 'value_answer': [3, 4], 'option_answer': ['A', 'C'], 'other': {'given_value': 5, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the length of the other wire?,"[{'A': 3}, {'B': 6}, {'C': 4}, {'D': 5}, {'E': 'None'}]","[3, 4]","['A', 'C']",Sidharth,"[3, 4]"
211,attribute_comparison,height_and_pressure,Edward's house recently installed a water tank and the pressure head generated is 89 m.,Height is directly proportional to pressure head.,"{'question_text': ""What could be the pressure generated by the water tank installed at Edward's friend's house which is higher than Edward's house?"", 'options': [{'A': 87}, {'B': 85}, {'C': 91}, {'D': 95}, {'E': 'None'}], 'value_answer': [91, 95], 'option_answer': ['C', 'D'], 'other': {'given_value': 89, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the pressure generated by the water tank installed at Edward's friend's house which is higher than Edward's house?,"[{'A': 87}, {'B': 85}, {'C': 91}, {'D': 95}, {'E': 'None'}]","[91, 95]","['C', 'D']",Kevin,"[91, 95]"
419,attribute_comparison,projectile_height,Adam and his brother are throwing two identical balls in an upward direction at 45 degree of projection angle. Adam's ball which reached at higher height had initial velocity of 35 meter/second.,The maximum height reached by the ball is directly proportional to the initial velocity at which it is thrown if fired at 45 degrees of projection angle.,"{'question_text': ""What could be the initial velocity of the ball thrown by Adam's brother?"", 'options': [{'A': 41}, {'B': 26}, {'C': 37}, {'D': 39}, {'E': 'None'}], 'value_answer': [26], 'option_answer': ['B'], 'other': {'given_value': 35, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the initial velocity of the ball thrown by Adam's brother?,"[{'A': 41}, {'B': 26}, {'C': 37}, {'D': 39}, {'E': 'None'}]",[26],['B'],Saurabh,"[37, 39]"
1067,implicit_numerical_knowledge,dimes,Joseph is collecting only dimes. He could not manage to collect 10 dollars from these dimes.,10 dimes make 1 dollar,"{'question_text': 'How many dimes could Joseph have collected?', 'options': [{'A': 94}, {'B': 81}, {'C': 109}, {'D': 84}, {'E': 'None'}], 'value_answer': [94, 81, 84], 'option_answer': ['A', 'B', 'D'], 'other': {'given_value': 100, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",How many dimes could Joseph have collected?,"[{'A': 94}, {'B': 81}, {'C': 109}, {'D': 84}, {'E': 'None'}]","[94, 81, 84]","['A', 'B', 'D']",Neeraj,"[94, 84]"
501,attribute_comparison,compressibility_and_density,"Matthew wants to store two gases in separate containers. To determine the amount of gas that can be stored in the containers, he needs to understand the relation between the compressibility factor and density of gas. The density of gas with higher compressibility factor is 45 units.",Compressibility factor is inversely proportional to density at constant pressure and temperature of the gas.,"{'question_text': 'What could be the density of the other gas?', 'options': [{'A': 47}, {'B': 43}, {'C': 41}, {'D': 42}, {'E': 'None'}], 'value_answer': [47], 'option_answer': ['A'], 'other': {'given_value': 45, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the density of the other gas?,"[{'A': 47}, {'B': 43}, {'C': 41}, {'D': 42}, {'E': 'None'}]",[47],['A'],Yamini,"[47, 43, 41, 42]"
916,change_with_action,marks,Dylan appeared in an exam of 100 marks and attempted questions for 51 marks.,One can get marks only for the questions they attempted,"{'question_text': 'How many marks he can possibly get?', 'options': [{'A': 69}, {'B': 62}, {'C': 63}, {'D': 40}], 'value_answer': [40], 'option_answer': ['D'], 'other': {'given_value': 51, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",How many marks he can possibly get?,"[{'A': 69}, {'B': 62}, {'C': 63}, {'D': 40}]",[40],['D'],Neeraj,"[62, 63]"
852,change_with_time,height,Gabriel's height is 25 inches today.,Height does not decrease with time,"{'question_text': ""What could be Gabriel's height next year ?"", 'options': [{'A': 25}, {'B': 28}, {'C': 23}, {'D': 21}], 'value_answer': [25, 28], 'option_answer': ['A', 'B'], 'other': {'given_value': 25, 'more_is_correct_flag': True, 'equal_is_correct_flag': True}}",What could be Gabriel's height next year ?,"[{'A': 25}, {'B': 28}, {'C': 23}, {'D': 21}]","[25, 28]","['A', 'B']",Neeraj,"[25, 28, 23]"
521,attribute_comparison,compressibility_and_temperature,Atlas is an employee at fire extinguisher manufacturing industry. Atlas is asked to learn and observe how the compressibility factor changes at two different temperature of two identical gases. So Atlas compared the compressibility factor and temperature of both the gases to understand the same. The temperature with lower compressibility factor is 124 K.,Compressibility factor is inversely proportional to temperature at constant pressure and density of the gas.,"{'question_text': 'What could be the temperature of the other gas?', 'options': [{'A': 122}, {'B': 129}, {'C': 123}, {'D': 132}], 'value_answer': [122, 123], 'option_answer': ['A', 'C'], 'other': {'given_value': 124, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the temperature of the other gas?,"[{'A': 122}, {'B': 129}, {'C': 123}, {'D': 132}]","[122, 123]","['A', 'C']",Yamini,"[122, 123]"
1152,non_numerical,dragonflies_wings,Charlie was an entomologist and saw an insect with 4 wings fluttering nearby while moving through a rainforest for a study.,Dragonflies have 4 wings.,"{'question_text': 'What could be the electronic appliance?', 'options': [{'A': 'dog'}, {'B': 'peacock'}, {'C': 'hen'}, {'D': 'dragonfly'}], 'value_answer': ['dragonfly'], 'option_answer': ['D'], 'other': {}}",What could be the electronic appliance?,"[{'A': 'dog'}, {'B': 'peacock'}, {'C': 'hen'}, {'D': 'dragonfly'}]",['dragonfly'],['D'],Himanshu,['dragonfly']
843,attribute_comparison,valency_shell_electrons,Parker has to calculate the number of electrons present in the valence shell for an insulator and a conductor. The number of electrons in the valence shell of the insulator is 8 units.,"The conductivity of the atom depends on the number of electrons that are in the valence shell. Normally, a conductor has three or fewer valence electrons, an insulator has five or more valence electrons, and semiconductors usually have four valence electrons.","{'question_text': 'What could be the number of valence shell electrons of the other object?', 'options': [{'A': 8}, {'B': 10}, {'C': 9}, {'D': 5}], 'value_answer': [5], 'option_answer': ['D'], 'other': {'given_value': 8, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the number of valence shell electrons of the other object?,"[{'A': 8}, {'B': 10}, {'C': 9}, {'D': 5}]",[5],['D'],Sivapriya,"[8, 9]"
502,attribute_comparison,compressibility_and_density,"Patrick wants to store two gases in separate containers. To determine the amount of gas that can be stored in the containers, he needs to understand the relation between the compressibility factor and density of gas. The compressibility factor of gas with lower density is 19 units.",Compressibility factor is inversely proportional to density at constant pressure and temperature of the gas.,"{'question_text': 'What could be the compressibility factor of the other gas?', 'options': [{'A': 17}, {'B': 14}, {'C': 22}, {'D': 21}], 'value_answer': [17, 14], 'option_answer': ['A', 'B'], 'other': {'given_value': 19, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the compressibility factor of the other gas?,"[{'A': 17}, {'B': 14}, {'C': 22}, {'D': 21}]","[17, 14]","['A', 'B']",Yamini,"[17, 21, 22]"
149,attribute_comparison,rafting_downstream,Graham participates in a boat racing competition. He first rows the boat in still water and takes 14 minutes to corss and then while coming back starts going downstream.,speed of the downstream river adds to the speed of the raft,"{'question_text': 'What could be the time taken to come back in downstream?', 'options': [{'A': 15}, {'B': 12}, {'C': 13}, {'D': 18}, {'E': 'None'}], 'value_answer': [12, 13], 'option_answer': ['B', 'C'], 'other': {'given_value': 14, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the time taken to come back in downstream?,"[{'A': 15}, {'B': 12}, {'C': 13}, {'D': 18}, {'E': 'None'}]","[12, 13]","['B', 'C']",Neeraj,"[12, 13]"
954,change_with_action,subtraction,There is number 62 and a positive value is subtracted from it.,Subtracting a positive number from a value results in a smaller value,"{'question_text': 'What could be the result?', 'options': [{'A': 57}, {'B': 67}, {'C': 51}, {'D': 43}, {'E': 'None'}], 'value_answer': [57, 51, 43], 'option_answer': ['A', 'C', 'D'], 'other': {'given_value': 62, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the result?,"[{'A': 57}, {'B': 67}, {'C': 51}, {'D': 43}, {'E': 'None'}]","[57, 51, 43]","['A', 'C', 'D']",Neeraj,"[57, 51, 43]"
683,attribute_comparison,internet_speed,"Justin has two internet connections. From first internet connection, the video streaming was in better quality than the other. The internet speed of the first connction is 361 MB per sec.",Quality of video which can be buffered is directly proportional to internet speed.,"{'question_text': 'What could be the speed of the other internet connection?', 'options': [{'A': 363}, {'B': 358}, {'C': 356}, {'D': 362}], 'value_answer': [358, 356], 'option_answer': ['B', 'C'], 'other': {'given_value': 361, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the speed of the other internet connection?,"[{'A': 363}, {'B': 358}, {'C': 356}, {'D': 362}]","[358, 356]","['B', 'C']",Sidharth,"[358, 356, 362]"
1311,non_numerical_sg,dollar_cent,"Jayden went to a supermarket and purchased something worth 3 dollars, he paid the full amount in denomenation of one cent ",one dollar is equal to 100 cents,"{'question_text': 'How many cents could he give?', 'options': [{'A': '200'}, {'B': '300'}, {'C': '400'}, {'D': '500'}], 'value_answer': ['300'], 'option_answer': ['B'], 'other': {}}",How many cents could he give?,"[{'A': '200'}, {'B': '300'}, {'C': '400'}, {'D': '500'}]",['300'],['B'],Sidharth,"[200, 300, 400, 500]"
1576,transaction,money,"Luke had 147 dollars initially and gave some money to Elliana who initially had 57 dollars.Luke had a friend Elliana. Elliana wanted to buy something but only had 57 dollars with her which was not sufficient, so Luke who had initially 147 dollars gave Elliana some money.",When some money is transferred to others money with the giver decreases,"{'question_text': 'What could be the amount of money with Luke now?', 'options': [{'A': 160}, {'B': 190}, {'C': 180}, {'D': 110}], 'value_answer': [110], 'option_answer': ['D'], 'other': {'given_value': 147, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the amount of money with Luke now?,"[{'A': 160}, {'B': 190}, {'C': 180}, {'D': 110}]",[110],['D'],Neeraj,"[160, 180]"
891,change_with_action,boys_and_girls,There are 67 students in a class and some of them are absent today.,Count of people would be less if some are absent,"{'question_text': 'How many total students can be present in this class today?', 'options': [{'A': 64}, {'B': 63}, {'C': 72}, {'D': 59}, {'E': 'None'}], 'value_answer': [64, 63, 59], 'option_answer': ['A', 'B', 'D'], 'other': {'given_value': 67, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",How many total students can be present in this class today?,"[{'A': 64}, {'B': 63}, {'C': 72}, {'D': 59}, {'E': 'None'}]","[64, 63, 59]","['A', 'B', 'D']",Neeraj,"[64, 63, 72, 59]"
639,attribute_comparison,viscosity_and_temperature,Manufacturing equipment requires appropriate lubrication to run smoothly. Cole is a new joinee and is asked to make a report on two liquids to understand their viscocity with change in temperature. The viscosity of the liquid with higher temperature is 41 units.,The viscosity of liquids decreases rapidly with an increase in temperature.,"{'question_text': 'What could be the viscosity of the other liquid?', 'options': [{'A': 42}, {'B': 37}, {'C': 41}, {'D': 45}, {'E': 'None'}], 'value_answer': [42, 45], 'option_answer': ['A', 'D'], 'other': {'given_value': 41, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the viscosity of the other liquid?,"[{'A': 42}, {'B': 37}, {'C': 41}, {'D': 45}, {'E': 'None'}]","[42, 45]","['A', 'D']",Yamini,"[37, 41, 45]"
1032,implicit_numerical_knowledge,continents,Arthur is a news reporter and writes international articles. He has written at least 4 news articles on each continent.,There are 7 continents in the world,"{'question_text': 'How many articles Arthur could have written in total?', 'options': [{'A': 18}, {'B': 30}, {'C': 22}, {'D': 21}], 'value_answer': [30], 'option_answer': ['B'], 'other': {'given_value': 28, 'more_is_correct_flag': True, 'equal_is_correct_flag': True}}",How many articles Arthur could have written in total?,"[{'A': 18}, {'B': 30}, {'C': 22}, {'D': 21}]",[30],['B'],Neeraj,"[18, 21, 22, 30]"
1257,non_numerical,filament_object,Noah is a middle school student and has just started reading about electricity. He was curious about the bulbs and how different metals can be used as filament. He used a metal to create a filament and it lighted up brightly.,"Copper cannot be used for making filaments of bulb where as Tungsten, Platinum, and Rhenium can be used for the same task.","{'question_text': 'What could be the metal used as filament?', 'options': [{'A': 'copper'}, {'B': 'tungsten'}, {'C': 'platinum'}, {'D': 'rhenium'}], 'value_answer': ['tungsten', 'platinum', 'rhenium'], 'option_answer': ['B', 'C', 'D'], 'other': {}}",What could be the metal used as filament?,"[{'A': 'copper'}, {'B': 'tungsten'}, {'C': 'platinum'}, {'D': 'rhenium'}]","['tungsten', 'platinum', 'rhenium']","['B', 'C', 'D']",Yamini,"[copper, tungsten]"
247,attribute_comparison,throwing_sport,"In the recent athletics game, Julian was the runner up and threw the ball 7 meters far.","In throwing sports, winner throws the object farthest.","{'question_text': 'How far could the winner player have thrown the ball?', 'options': [{'A': 6}, {'B': 9}, {'C': 3}, {'D': 7}, {'E': 'None'}], 'value_answer': [9], 'option_answer': ['B'], 'other': {'given_value': 7, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",How far could the winner player have thrown the ball?,"[{'A': 6}, {'B': 9}, {'C': 3}, {'D': 7}, {'E': 'None'}]",[9],['B'],Kevin,[9]
1408,non_numerical,lawyer,Leon hired lawyer to advise certain laws for his company.,A lawyer is a person who practices law and advises clients on aspects of all law.,"{'question_text': 'What could be the reason he was hired?', 'options': [{'A': 'programming'}, {'B': 'cooking'}, {'C': 'tax laws'}, {'D': 'taking photograph'}], 'value_answer': ['tax laws'], 'option_answer': ['C'], 'other': {}}",What could be the reason he was hired?,"[{'A': 'programming'}, {'B': 'cooking'}, {'C': 'tax laws'}, {'D': 'taking photograph'}]",['tax laws'],['C'],Saurabh,[C]
1568,transaction,crates,"There are crates of fruits at Dock A  and Dock B. Dock A had 21 crates of fruits and Dock B had 18 crates of fruits. There was a requirement of some crates at Dock B, so some of crates were sent from Dock A to Dock B.",When some items are transferred to others their quantity at the initial place decreases,"{'question_text': 'What can be the number of crates at Dock A?', 'options': [{'A': 24}, {'B': 17}, {'C': 16}, {'D': 19}], 'value_answer': [17, 16, 19], 'option_answer': ['B', 'C', 'D'], 'other': {'given_value': 21, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What can be the number of crates at Dock A?,"[{'A': 24}, {'B': 17}, {'C': 16}, {'D': 19}]","[17, 16, 19]","['B', 'C', 'D']",Neeraj,"[17, 16, 19]"
425,attribute_comparison,projectile_height,"Thomas and his brother are playing with two identical balls. Both were trying to throw the ball as high as possible, the balls were thrown at 45 degree of projection angle. Thomas threw a ball with lower initial velocity that reached height of 35 meters.",Maximum height reached by the ball is directly proportional to the initial velocity at which it is thrown if fired at 45 degrees of projection angle.,"{'question_text': ""What could be the maximum height reached by the ball thrown by Thomas's brother?"", 'options': [{'A': 34}, {'B': 36}, {'C': 26}, {'D': 37}], 'value_answer': [36, 37], 'option_answer': ['B', 'D'], 'other': {'given_value': 35, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the maximum height reached by the ball thrown by Thomas's brother?,"[{'A': 34}, {'B': 36}, {'C': 26}, {'D': 37}]","[36, 37]","['B', 'D']",Saurabh,"[36, 37]"
817,attribute_comparison,rotation_angle_and_arc_length,Tyler and his friend ran on a circular ground. Tyler ran more distance than his friend on the ground. The angle enclosed by the distance ran by Tyler is 23 units.,The angle enclosed by two points on a circle at the center is directly proportional to the length of the arc between those two points.,"{'question_text': 'What could be the angle enclosed by the distance travelled by his friend?', 'options': [{'A': 20}, {'B': 23}, {'C': 27}, {'D': 18}, {'E': 'None'}], 'value_answer': [20, 18], 'option_answer': ['A', 'D'], 'other': {'given_value': 23, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the angle enclosed by the distance travelled by his friend?,"[{'A': 20}, {'B': 23}, {'C': 27}, {'D': 18}, {'E': 'None'}]","[20, 18]","['A', 'D']",Sivapriya,"[20, 23, 27]"
1603,implicit_numerical_knowledge,percent,Bentley has 40 dollars and spent more than 25% of this amount buying burgers.,25% means quarter,"{'question_text': 'How many dollars Bentley could have spent on burgers ?', 'options': [{'A': 10}, {'B': 9}, {'C': 11}, {'D': 13}], 'value_answer': [11, 13], 'option_answer': ['C', 'D'], 'other': {'given_value': 10, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",How many dollars Bentley could have spent on burgers ?,"[{'A': 10}, {'B': 9}, {'C': 11}, {'D': 13}]","[11, 13]","['C', 'D']",Saurabh,"[10, 11, 13]"
907,change_with_action,cut_items,Edward had 12 apples and he ate a few in the breakfast.,When something is eaten its quantity reduces,"{'question_text': 'How much apples Edward could be having now?', 'options': [{'A': 15}, {'B': 12}, {'C': 6}, {'D': 9}, {'E': 'None'}], 'value_answer': [6, 9], 'option_answer': ['C', 'D'], 'other': {'given_value': 12, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",How much apples Edward could be having now?,"[{'A': 15}, {'B': 12}, {'C': 6}, {'D': 9}, {'E': 'None'}]","[6, 9]","['C', 'D']",Neeraj,"[9, 12]"
