index,category,subcategory,knowledge,premise,hypothesis,binary_classification_label,author,GPT3Pred
1110,attribute_comparison,entropy_and_pressure,The entropy of a system decreases with an increase in pressure.,Tyler wanted to study the effect of pressure on entropy of a system. The pressure of the system when entropy of the system is high is 25 Pa.,Pressure of the other system could be 29 Pa.,True,Yamini,False
1206,attribute_comparison,pressure_and_volume,The volume of an ideal gas is inversely proportional to the pressure of the gas.,"To identify optimal gases to be used in airbags, Miles was pressure testing it with two gases. The volume of gas with lower pressure is 45 units.",Volume of the other gas could be 40 units.,True,Yamini,False
1831,change_with_action,marks,"For getting full marks in an exam, you meed to answer all the questions correctly",Liam is a student and appeared for an exam. The exam was of 81 marks. He answered a few questions incorrectly.,Liam can get 84 marks.,False,Neeraj,False
612,attribute_comparison,frequency and wavelength,"Given two waves with same velocity, the wave with higher frequency will have lower wavelength.",There are two waves that move with the same speeds and Parker has to find the relationship between its frequency and wavelength. The wavelength of the wave with lower frequency is 76494 units.,Frequency of the wave with higher wavelength could be 70000 units.,True,Himanshu,False
2829,non_numerical,painter,A painter is a person who paints.,A Leonardo wants to renovate his house and hired a painter. The painter used certain objects to finish the job.,He could have used a vacuum cleaner.,False,Saurabh,False
435,attribute_comparison,winning_and_losing_team,Losing team scores less than winning team.,"In the recent soccer game, the losing team scored 21 points.",The winning team could have scored 16 points in that match.,False,Kevin,False
785,attribute_comparison,flow_rate_and_time,Time taken to fill the container is inversely proportional flow rate.,Atlas his filling two identical water tanks. Both water tanks have equal capacity to hold the water. One of the water tanks took more time to fill. This water tanks was being filled by a pipe that had a flow rate of 53 liter/minute.,Flow rate of other pipe could be 56 liter/minute.,False,Saurabh,False
821,attribute_comparison,projectile_distance,"Horizontal distance travelled by cannon ball is directly proportional to the muzzle velocity, if fired at 45 degree projection angle.",Arthur was wondering how cannons were used before in the war. He was experimenting with two cannons in testing zone to obeserve the distance covered by cannon balls. Two cannons shot two identical cannon balls. The cannon ball that has a greater muzzle velocity covered distance of 112 meters.,Distance travelled by the other cannon ball could be 120 meters.,False,Saurabh,False
843,attribute_comparison,projectile_height,Maximum height reached by the ball is directly proportional to the initial velocity at which it is thrown if fired at 45 degrees of projection angle.,"Benjamin and his brother are playing with two identical balls. Both were trying to throw the ball as high as possible, the balls were thrown at 45 degree of projection angle. Benjamin threw a ball that reached a lower height had an initial speed of 41 meter/second.",Initial velocity of the ball thrown by Benjamin's brother could be 32 meter/second.,False,Saurabh,False
1459,attribute_comparison,vol_cube,Volume of large cuboid is greater than volume of small cuboid.,Nolan wanted to make some some ice for his soft drink. He fills water in two trays which he had. 189 ml of water was filled in smaller ice tray.,Volume of water that could be filled in the bigger ice tray could be 181 ml.,False,Sidharth,False
2325,non_numerical,moving_and_flying_objects,Vehicles like car and bicycle run on the ground. Vehicles like plane and rockets fly in the air.,Calvin saw an object moving on the ground from his window.,The vehicle could be a rocket.,False,Himanshu,False
579,attribute_comparison,car_capacity,Bigger vehicles have more seating capacity.,"Noah bought a bus with a capacity of 61 people. Later, he bought a new bus with a higher capacity.",The seating capacity of the new bus could be 55 people.,False,Himanshu,False
3044,non_numerical,teeth_cleaner,A human can brush their teeth with toothpaste but not with face or body cream.,Atlas was ready to start his day and used an item to brush his teeth.,The item could have been a toothpaste.,True,Sivapriya,True
3230,implicit_numerical_knowledge,quarter,Quarter means one by four,Judah has 46 dollars and spent more than quarter of this amount buying burgers.,Judah could be left with 6 dollars after spending on burgers.,True,Saurabh,False
2547,non_numerical,pollination_plant,Pollination is an essential part of plant reproduction. Pollen from a flower's anther rubs or drops onto a pollinator. Methods like binary fission are not used for plant reproduction.,The number of flowers in spring increased rapidly. He understood this was a reproduction mechanism where pollens are sent to the anther via air.,The reproduction method could be binary fission.,False,Yamini,False
1894,change_with_action,selling,Selling price of an object decreases if discount is given,Arthur purchased a phone for 552 dollars. The phone price was discounted.,The original price of the phone could be 625 dollars.,True,Neeraj,True
1306,attribute_comparison,viscosity_and_temperature_gas,The viscosity of gases increases with an increase in temperature.,"To understand the effect of viscosity on the kinetic theory of gases, Bentley was testing it with two gases. The temperature of the gas with lower viscosity is 16 units.",Temperature of the other gas could be 19 units.,True,Yamini,False
1486,attribute_comparison,angle_and_length,The angles of a triangle are in same relative order as that of their opposite sides length in a triangle.,The length of the side of a scalene triangle opposite to the largest angle enclosed is 29 meters.,The length of the side opposite to the other angles enclosed inside the triangle could be 21 meters.,True,Sivapriya,False
1397,attribute_comparison,ohms_law,Voltage is directly proportional to resistance.,"John performs an experiments on two circuits. Between the two circuits, one of them has a higher voltage applied. 12 is the resistance of the circuit with a higher voltage.",The resistance value in circuit with low voltage is 14 ohms,False,Sidharth,False
1999,implicit_numerical_knowledge,car_wheels,A car has 4 wheels,"In a repairing workshop, 8 cars are tested daily. Thomas and his co-worker test air in all the wheels of the cars.",Total number of wheels that Thomas tested could be 36.,False,Neeraj,True
1124,attribute_comparison,flash_point_and_flammability,Liquids with lower flash points ignite easier.,Alex was conducting a survey on the fire accident scene. He identified two liquids. Further analysis showed the flash point of the liquid with higher flammability is 106 units.,Flash point of the other liquid could be 108 units.,True,Yamini,False
912,attribute_comparison,triangle_side_sum,Sum of any two side of triangle is greater than the third side,"In a triangular shaped garden, total fencing wire used for two sides of the garden is 63",Length of the wire required for third side of garden could be 62 meters.,True,Saurabh,False
3081,non_numerical,rational_and_irrational_numbers2,"Any number that can be represented in the form of a fraction is a rational number. Irrational numbers like square root of 2,3 or pi are non recurring and non repeating decimals.",Jacob wanted to use the value of pi for calculating area of a circle but the teacher told him to use quotient of 22 divided by 7. He named its quotient to be approximate pi.,Approximate pi could be an irrational number.,False,Himanshu,False
808,attribute_comparison,projectile_angle_height,Maximum height reached by an object is directly proportional to the projectile angle at which it is thrown if the initial velocity is constant.,"Bentley and his sister are trying to pick some oranges from a tree. Since they are not able to reach to height of the oranges, they decided to throw stone to make orange fall on the ground. Both have same muscle power to throw a stone. Bentley threw a stone with a lower angle of projection and reached a height of 32 meters.",Maximum height reached by the stone thrown by Bentley's sister could be 41 meters.,True,Saurabh,False
393,attribute_comparison,anatomy_knowledge ,A baby has more bones than a human.,Matthew's kid saw a book which displayed that a human adult has 206 bones.,The number of bones in a baby could be 190.,False,Kevin,True
2447,non_numerical,traffic_sense,"Vehicle should start at green light, halt at red lights, and slow down at yellow lights.",Justin was driving to his university and he saw a signal and stopped his car.,The signal was showing yellow light.,False,Kevin,True
84,attribute_comparison,direct_comparison,bigger circle has larger area,Daniel and his Nancy's both drew a cricle on a paper. Daniel's circle area was 20 sq units and his friend Nancy drew a cricle with larger radius around it.,Area of Nancy's circle could be 23 sq units.,True,Neeraj,True
802,attribute_comparison,gravity_and_masses,Gravitational force is directly proportional to mass,Two asteroids have different masses and are at the same distance from Earth. Mass of the asteroid having less gravitational pull from Earth is 58 units.,Mass of the other asteroid could be 63.,True,Saurabh,False
2531,non_numerical,fuel_car,The majority of motor vehicles worldwide are powered by gasoline or diesel. ,Carson was going on a trip to Grand Canyon and suddenly the car ran out of fuel. He had to walk to a nearest gas station to get that fuel in a container.,The container could contain air.,False,Yamini,False
915,attribute_comparison,triangle_side_sum,Sum of any two side of triangle is greater than the third side,"In a triangular shaped garden, total fencing wire used for two sides of the garden is 74",Length of the wire required for third side of garden could be 74 meters.,False,Saurabh,False
3129,non_numerical,triangle_sides,A triangle has three sides.,"In an inter school mathematical competition, Benjamin was given many shapes and was asked to identify all the triangles among those shaps.",He could have selected the shapes with five sides.,False,Sidharth,False
737,attribute_comparison,density_and_height_submerged,Submerged height of a floating object is directly proportional to density,Abraham saw two objects floating on the water. One of the object that was submerged more in the water had density of 55 units.,Density of the other object could be 64 units.,False,Saurabh,False
1908,change_with_action,subtraction,Subtracting a positive number from a value results in a smaller value,There is number 62 and a positive value is subtracted from it.,The result could be 50.,True,Neeraj,False
1778,change_with_action,boys_and_girls,Total number of students is sum of number of boys and girls,There are 19 boys in a class and a few girls.,There could be 21 total students in this class.,True,Neeraj,True
268,attribute_comparison,portion,A portion of an object is less than the whole object,"Matthew like to eat a lot of junk food. One day, he went out to eat burgers with his friends which had 34 units of calories in one burger, and he ate several such burgers.",Matthew could have consumed 43 units calories.,True,Neeraj,False
1243,attribute_comparison,solubility_and_solid,The solubility of a solid in water increases with an increase in temperature.,"Finn wanted to dissolve salt in water at two different temperatures. At temperature 266 K, the solubility was lower.",The temperature of the other solution could be 256 K.,False,Yamini,True
2642,non_numerical_sg,giraffe_and_height,Giraffe is the tallest animal among all the animals.,Henry saw pictures of different animals and saw picture of an animal whos was taller than any other animal which moved in nature.,The animal could have been a Giraffe.,True,Sidharth,True
2179,implicit_numerical_knowledge,soccer,There are 11 players in a team of soccer and a game has 2 teams,A new jersey was sent to the players of both teams of a soccer game. Some of them did not get the jersey.,22 players could have received the jersey.,False,Neeraj,True
744,attribute_comparison,density_and_mass,Density is directly proportional to the mass,Michael has two similar rods. Density of rod with lower mass is 41 units.,Density of the other rod could be 46 units.,True,Saurabh,False
687,attribute_comparison,ball_time_height,Time taken by the ball to hit the ground is directly proportional to the height from which the ball is dropped.,Bennett and his brother were observing how time taken is related to the height from which it is dropped. They dropped the balls from different height. A ball that was dropped from a higher height took 22 seconds to reach the ground.,Time taken by the other ball to hit the ground could be 22 seconds.,False,Saurabh,False
1551,attribute_comparison,force_and_spring,The magnitude of the force required to change the length of a spring-like object is directly proportional to the spring constant and the displacement of the spring.,Antonio is playing a game that involves jumping on the boxes attached with a spring at the bottom. On the first box Antonio able to jump more and the amount of force Antonio required to jump on the first spring box is 48 units.,The force required to jump on the second spring could be 48 units.,False,Sivapriya,False
2886,non_numerical,thorn_flower,Flowering plants like roses and firethorn have thorns whereas daisy and lily don't have thorns.,"Atlas is the owner of a flower shop. In the morning, he went to his garden to pluck some flowers, during which he got pricked by one of the plants.",The plant could be of rose.,True,Saurabh,True
2270,non_numerical,bear_height,Black bears are about two metres tall. ,Finn was going to spend an expedition to a forest of wildlife preserves. He saw a wild animal there whose height was about 2 meters away.,The animal could be a Black bear. ,True,Himanshu,True
1062,attribute_comparison,diffusion_and_mass,"At higher temperatures, the rate at which fluid particles will diffuse is faster than at lower temperatures.","Ashton loves drinking tea. He noticed that, when tea bags are dipped in hot water, the diffusion of tea particles was found to be different at two different temperature of hot water. The rate of diffusion when temperature is higher is 31 units.",Rate of diffusion in the other bowl of water could be 26 units.,True,Yamini,False
2616,non_numericalSG,dice,A dice has distinct numbers from 1 to 6,"Isaac and his friends were playing a game in which they had to get the number more than each other in order to win. His friend got 5 on the dice, but still Isaac won.",He could have got 6 in the dice,True,Sidharth,True
266,attribute_comparison,portion,A portion of an object is less than the whole object,"Adriel like to eat a lot of junk food. One day, he went out to eat junk food with his friends which had 24 units of calories.",Adriel could have consumed 14 units calories.,True,Neeraj,True
1317,attribute_comparison,amount_of_food,Amount of food required is directly proportional to the number of people.,"Alexander started a canteen two days a week. On both days he cookd the same amount of food, but the food the first day was not sufficient for all the people came to his canteen. The number of people came on that day was 23.",The number of people came on the second day could be 24.,False,Sidharth,False
2473,non_numerical,train_travel,Passengers should arrive at the railway station before the train leaves.,Nathan was disappointed as he could not board the train which was scheduled to depart at 12:30 for his vacation due to some last minute change in schedule.,He could have arrived at the station before 12:30 PM.,False,Kevin,True
2224,implicit_numerical_knowledge,couple,A couple has 2 items,Mare than 4 couples were dancing in the room.,There could be 10 people in the room.,True,Saurabh,False
2887,non_numerical,thorn_flower,Flowering plants like roses and firethorn have thorns whereas daisy and lily don't have thorns.,"Atlas is the owner of a flower shop. In the morning, he went to his garden to pluck some flowers, during which he got pricked by one of the plants.",The plant could be of daisy.,False,Saurabh,False
695,attribute_comparison,water_and_volume,Larger volume holds lager amount of water.,Jacob's is filling two bottles which are in a cylindrical shape. One of the bottles that had greater volume was filled with 48 units of water.,Amount of water in other bottle could be 52 units.,False,Saurabh,False
1030,attribute_comparison,compressibility_and_temperature,Compressibility factor is inversely proportional to temperature at constant pressure and density of the gas.,Joshua is an employee at fire extinguisher manufacturing company. Joshua is asked to learn and observe how the compressibility factor changes at two different temperature for two identical gases. So Joshua compared the compressibility factor and temperature of both the gases to understand the same. The compressibility factor with higher temperature is 23 units.,Compressibility factor of the other gas could be 27 units.,True,Yamini,False
3049,non_numerical,touch_me_not_plant,"Mimosa pudica, also called sensitive plant, sleepy plant, action plant, touch-me-not, shame plant is a creeping annual or perennial flowering plant of the pea/legume family Fabaceae. It responds to touch and other stimulation by rapidly closing its leaves and drooping.",Anthony visited a garden where he touched a plant and it quickly closed his leaves.,The plant could have been a rose.,False,Sivapriya,False
2634,non_numerical_sg,first_day,Monday is first day of the week.,Mateo received a mail to come and meet his professor for discussion on the paper on the first day of the coming week.,The day could have been Monday.,True,Sidharth,True
2998,non_numerical,protein_diet,Non vegetarian foods are rich in protein.,Arthur planned to take a diet rich in protein in his daily routine.,The food items to involve in the diet could be fish or meat.,True,Sivapriya,True
250,attribute_comparison,portion,A portion of an object is less than the whole object,Dawson bought a basket of apples that had 32 apples.,Dawson can eat 25 apples from that basket.,True,Neeraj,True
353,attribute_comparison,train_and_walking,Train is a faster way of travelling than walking,Robert's office is at a large distance from his home. One day Robert travelled via train and reached in 36 minutes.,Next day Robert decided to walk to the office. It can take 30 minutes to reach the office.,False,Neeraj,False
3159,transaction,money,When some money is transferred to others money with the giver decreases,"Daniel had 75 dollars initially and took some money from Harper who initially had 172 dollars.Daniel had a friend Harper. Daniel wanted to buy something but only had 75 dollars with her which was not sufficient, so Harper who had initially 172 dollars gave Daniel some money",Harper could be having 200 dollars now.,False,Neeraj,False
484,attribute_comparison,lifting_sport,"In lifting sports, the winner lifts the heaviest object among the competitors.","In a weight lifting tournament, Charles was the runner up who lifted 175 kgs.",The winner in that tournament could have lifted 181 kgs.,True,Kevin,True
3017,non_numerical,root_vegetables,Root vegetables like carrot are the fleshy enlarged root of a plant that is used as a vegetable.,Hayden was interested in growing vegetables that grow under the ground.,The vegetables could have been Ladies finger or Brinjal.,False,Sivapriya,False
319,attribute_comparison,sound_limit,A music system can not produce sound more than its limit,Adam was listening to music in his music system at 10 units volume.,The maximum volume of this system could be 7 units.,False,Neeraj,False
1351,attribute_comparison,eyes,People with higher power of spectacles have weak eyes as compared to people with low power of spectacles.,Bennett and his friend use spctacles because both of them have week eyes. He wears a spectacle of 1 power and his eyes are more debilitating compared to his friend's eyes.,His friend could be wearing spectacles of 3 power.,False,Sidharth,False
1071,attribute_comparison,diffusion_and_mass,"At higher temperatures, the rate at which fluid particles will diffuse is faster than at lower temperatures.",Joseph and his friend heated two bowls of water to make coffee. They noticed that the sugar cubes dissolved at different rates in both bowls. The rate of diffusion of sugar with water in the bowl at lower temperature is 27 units.,Rate of diffusion of the other water could be 27 units.,False,Yamini,True
2348,non_numerical,amphibians,Desserts are sweet foods that are usually eaten after a meal.,"After the meal, Jordan was offered a complimentary dessert which was served to him.",The taste of the dessert is sweet.,True,Kevin,True
2799,non_numerical,hammer_fish,Animal like hammerhead fish have a head shaped similar to hammer.,During researching about different types of fish. Marine biologist found a peculiar fish whose head resembles a tool.,The fish could be jellyfish.,False,Saurabh,False
2023,implicit_numerical_knowledge,cards,"In a deck of cards, there are 52 cards","While cleaning the room, Alex found that he lost few cards from all his 2 decks.",He could be having 116 cards in total now.,False,Neeraj,False
765,attribute_comparison,electricity_bill_power,Electricity bill amount is directly proportional to power usage.,Jameson has paid the electricity bill for months May and June. The month May had higher electricity bill amount with power usage of 119 watts.,The power usage of month June could be 119 watts.,False,Saurabh,False
2349,non_numerical,amphibians,Desserts are sweet foods that are usually eaten after a meal.,"After the meal, Jordan was offered a complimentary dessert which was served to him.",The taste of the dessert is salty.,False,Kevin,False
1845,change_with_action,money,When one lends money they are left with lesser money,Tyler has 41 dollars and he lends some money to his friend.,42 dollars could be remaining money with Tyler.,False,Neeraj,False
2920,non_numerical,carbohydrates_diet,"Food item like rice, wheat are rich in carbohydrates.",Anthony's doctor suggested reducing the amount of carbohydrate intake in his diet as his sugar levels increased. Anthony reduced the intake of an item.,The item could have been rice.,True,Sivapriya,True
2662,non_numerical_sg,no_of_hands,All primates have two hands.,Leon went to an animal museum and saw several exhibits. One of the exhibit was very interesting since it had two hands,The exhibit could have been of an ape.,True,Sidharth,True
700,attribute_comparison,weight_and_volume,Larger amount of water have more weight.,Leo's has two identical cylindrical shaped bottles. The bottle holding less amount of water has 15 kg weight.,Weight of other bottle could be 20 kg.,True,Saurabh,False
1473,attribute_comparison,absorption_and_concentration,The absorbance is directly proportional to the concentration (c) of the solution of the sample used in the experiment.,"Julian experienced with two same types of solutions, but with different concentrations and the amount of light seen after passing through two solutions is more for the first solution and its concentration is 68.",The  concentration of the other solution could be 67 units.,False,Sivapriya,False
218,attribute_comparison,legal_age,One is allowed to join the tournament if they satisfy the age criteria,The minimum age to play a lawn-tennis tournament is 18 years. Jacob was allowed to play this tournament due to age criteria.,Jacob could be 21 years old.,True,Neeraj,True
529,attribute_comparison,education_performance,Topper of a class is the best performer in an exam.,"In the chemistry test, Benjamin was the topper and got 95 marks.",Benjamin's classmate could have scored 100 marks in the same test.,False,Kevin,False
1631,attribute_comparison,resistance_series_and_parallel,A circuit with parallel connections has a smaller total resistance than the resistors connected in series.,Antonio connected two circuits where the resistors are in series and in parallel respectively. The total value of resistance of the circuit when connected in series is 40 units.,The total resistance of the other connection could be 47 units.,False,Sivapriya,False
1287,attribute_comparison,viscosity_and_temperature,The viscosity of liquids decreases rapidly with an increase in temperature.,Manufacturing equipment requires appropriate lubrication to run smoothly. Logan is a new joinee and is asked to make a report on two liquids to understand their viscocity with change in temperature. The viscosity of the liquid with lower temperature is 49 units.,Viscosity of the other liquid could be 57 units.,False,Yamini,False
2317,non_numerical,flying_object,"A human cannot fly but other objects like birds, plane and football can.",Sebastian was playing on the floor and saw a flying object from the window.,The object could have been another human being.,False,Himanshu,False
2748,non_numerical,bat_sleep,Animals like bats sleep while hanging on trees upside down.,Julian read about an animal which can fly and sleep while hanging on the tree in upside down manner in an encyclopedia.,The animal could have been a bat.,True,Saurabh,True
2111,implicit_numerical_knowledge,decade,A decade has 10 years,Gabriel has been in politics for over 3 decades.,Gabriel could have spent 25 years in politics.,False,Neeraj,True
2333,non_numerical,phone_and_charge,A phone's battery can typically last for one day of two days with continuous usage. The battery cannot last for 1 week or more time.,Patrick has been using an electronic device. He is using it without charging it for 1 month continuously.,The electronic appliance could be a mobile phone.,False,Himanshu,False
2028,implicit_numerical_knowledge,cards,"In a deck of cards, there are 52 cards out of which 12 are face cards","Jonathan's friend borrowed his deck of cards. When returned, Jonathan found out that there are no face cards and few other cards were missing from the deck.",He could be having 36 cards in total now.,True,Neeraj,False
569,attribute_comparison,winning_and_losing_team,Winning team scores more than losing team.,The winning team scored 26 points in the match.,The losing team could have scored 34 points in that match.,False,Kevin,False
1382,attribute_comparison,obj_weight,Objects with more weight tend to fall faster as compared to objects with less weight.,"There are two balloons, one of them has air in it and one of them has water in it. Both the balloons were thrown at same time from same height and the balloon with water reaches the ground faster than the balloon with air. The weight of balloon with water is 198 grams ",The weight of air balloon could be 196 grams.,True,Sidharth,False
2857,non_numerical,seed_out,Strawberries are the only fruit that grows seeds on the exterior portion of the fruit.,Jack went to supermarket to buy some fruits. He liked one fruit that have seeds attached to the outside of the fruit.,The fruit could be orange.,False,Saurabh,False
3008,non_numerical,regular_polygon,"A polygon like square, a pentagon is regular when all angles are equal, and all sides are equal.",The instructor asked Ian to draw regular polygons.,The polygons could have been a square or a pentagon.,True,Sivapriya,True
2976,non_numerical,measure_meter,"Atmospheric pressure can be measured through Barometer but not through any other meter like hygrometer, multimeter. ",Daniel was watching climate changes for which a device needs to calculate atmospheric pressure.,The device could have been a Barometer.,True,Sivapriya,True
2511,non_numerical,desert_and_plants,"Cacti and Succulents can grow in desert regions where as plants like lotus, willow trees cannot grow in desert regions.","In the trip to dubai, William went for a dessert safari and saw a lot of desert plants.",The plant could be lotus.,False,Yamini,False
1138,attribute_comparison,heat_and_area,The rate of heat transfer is directly proportional to the surface area through which the heat is being conducted.,There are two heating pads that Barrett has and they have different surface areas. The surfcae area of the heating pad with higher rate of heat transfer is 193 units.,Surface area of the other heating pad could be 189 units.,True,Yamini,False
3067,non_numerical,wood_and_termites,Termites can chew the wood and destroy anything that is made of wood.,Lincoln has a beautiful wooden house but it was damaged due to insects.,The insects could have been ants.,False,Sivapriya,False
1347,attribute_comparison,engine_power,Big vehicles require more powerful engines as compared to small vehicle.,Sebastian has a fire truck and a car. 784 horsepower is the power of the car.,The power of truck's engine could be 711 horsepower.,False,Sidharth,False
1452,attribute_comparison,vol_cube,Volume of large object is greater than volume of smaller object.,It was summer and Justin wanted to make ice for lemonade. He has two ice trays and fills water in the trays. The bigger ice tray was filled with 181 ml of water.,Volume of water that could be filled in the smaller ice tray could be 174 ml.,True,Sidharth,True
1885,change_with_action,selling,Selling something reduces its quantity,Jude organized a sale and sold a total of 371 items at a maximum price of 1 USD each.,Jude could have made 390 money in the garage sale.,False,Neeraj,False
69,attribute_comparison,direct_comparison,Bigger library can accomodate more books,There is a bigger library nearby. The library can accommodate 60 books.,The capacity of the bigger library could be 52.,False,Neeraj,False
1643,attribute_comparison,solenoid_and_current,The strength of the magnetic field around a solenoid is directly proportional to the current.,"Finn wanted to create a controlled magnetic field using the solenoid to use as an electromagnet. Finn obtained two strengths by varying the current in which, for the second case, the strength is more. The current in the first case is 49 units.",The current flow in the solenoid coil for the second case could be 49 units.,False,Sivapriya,False
674,attribute_comparison,ball_speed_height,Speed of the ball near the ground is directly proportional to the height from which the ball is dropped.,Jayden and his brother were observing how speed is related to the height from which it is dropped. They dropped two identical balls from different height. A ball that has a lower speed near the ground is dropped from a 44 meters.,Height from which the other ball could have been dropped is 50 meters.,True,Saurabh,False
2925,non_numerical,citrus_fruits,"Raw citrus fruits like oranges, lime are very high in vitamin C.","Antonio was deficient with vitamin C, so his doctor suggested him to eat fruits.",The fruit could have been an apple.,False,Sivapriya,False
2249,implicit_numerical_knowledge,man_hours,An employee works for 8 hours per day.,"As part of his job, Jose works for 22 days every month.",The number of hours Jose works could be 176 hours in a month.,False,Kevin,True
675,attribute_comparison,ball_speed_height,Speed of the ball near the ground is directly proportional to the height from which the ball is dropped.,Jayden and his brother were observing how speed is related to the height from which it is dropped. They dropped two identical balls from different height. A ball that has a lower speed near the ground is dropped from a 44 meters.,Height from which the other ball could have been dropped is 36 meters.,False,Saurabh,True
861,attribute_comparison,refrigerator_and_food,Larger refrigerator occupies more food,Two unique refrigerators have different sizes. Larger refrigerator occupies 26 volume of food.,The Volume of food the other refrigerator could occupy could be 31.,False,Saurabh,False
305,attribute_comparison,rafting_upstream,speed of the upstream river reduces the speed of the raft,Leon is rowing a boat. The time taken to cross the river in still water is 12 minutes. While coming back Leon starts to go upstream.,The time taken to come back could be 11 units in upstream.,False,Neeraj,False
2100,implicit_numerical_knowledge,days_in_week,There are 7 days in a week,Graham played computer games for at least 4 hours daily for a week,"In that week, he could have played for 31 hours.",True,Neeraj,True
2499,non_numerical,cell_and_waves,"Cell phones use radio waves to communicate with cell towers, and these waves have wavelengths of approximately 10-1000 m. Cell phone encodes the sounds of the caller's voice in microwaves by changing the frequency of the waves.",Justin proposed using a certain electromagnetic wave for a new cell phone communication line in under developed areas. ,The waves could be sound waves.,False,Yamini,False
1602,attribute_comparison,potential_energy_and_spring,Elastic potential energy is directly proportional to the square of the change in length and the spring constant.,Two similar springs of same length were subjected to different forces and the potential energy developed in the first spring is more than the second spring. The change in the length of the first spring is 24 meters.,The change in the length of the second spring could be 17 meters.,True,Sivapriya,False
1193,attribute_comparison,precipitation_and_temperature,Precipitation is directly proportional to average temperature at earth's surface.,"Precipitation can have a negative impact on life. If too much rain or snowmelt occurs at one time, it can lead to flooding. Jaxon is the geologist investigating it and found the cause for change in precipitation is temperature by taking two different scenarios of precipitation. The surface temperature in a scenario with lower precipitation is 271 K.",Surface temperature in other scenario could be 270 K.,False,Yamini,False
2234,implicit_numerical_knowledge,grand,A grand is equal to 1000 ,For a weight lifting competition the prize money was more than 4 grand dollars.,The prize money could be 4003.,True,Saurabh,True
