index,category,subcategory,knowledge,premise,hypothesis,binary_classification_label,author,GPT3Pred
1185,attribute_comparison,precipitation_and_temperature,Precipitation is directly proportional to average temperature at earth's surface.,"Joseph who is a geologist is investigating the cause of change in precipitation by creating two scenario simulations. In one scenario, the surface temperature when the precipitation was high is 406 mm per hour.",Surface temperature in the other scenario could be 406 K.,False,Yamini,False
2480,non_numerical,wild_animals,"A wild animal finds its own food, shelter, water and all its other needs in a specific natural habitat.",Judah was watching the geographic channel. The narrator was speaking about an animal that lives in the wild and hunts animals for it food.,The animal could have been leopard.,True,Kevin,True
10,attribute_comparison,age,Son's age would be less than that of the father,Andrew is 65 years old.,Andrew's son could be 15 years old.,True,Neeraj,True
2361,non_numerical,domestic_animals,Domesticated animals are animals that have been selectively bred and genetically adapted over generations to live alongside humans.,Alan went to meet his grand parents who lived on a ranch in the suburbs. He saw that there an animal pulling a cart.,The animal could have been a zebra.,False,Kevin,False
1667,attribute_comparison,surface_tension_and_temperature,Surface tension is inversely proportional to the temperature.,Liam was washing the clothes with soap and detergents and observed that the soap water did not soak well into the pores and soiled areas. So Liam changed the temperature of the water and was able to wash properly. The temperature of water in the first case is 34 units.,Temperature of the water in the second case could be 29 units.,False,Sivapriya,False
1333,attribute_comparison,battery_time,Mobile on screen time is directly proportional to it's battery capacity.,Samuel is testing screen time of two mobiles. The mobile with higher on screen time has a battery of 6664 mAh.,Battery capacity of other device could be 7256 mAh.,False,Sidharth,False
1428,attribute_comparison,social_media,Number of daily active users in a social media platform is proportional to the popularity of the social media app.,"Julian uses two social networking platforms, Fakebook and Chatsnap. Among the two he uses Fakebook, most of the social media users use Fakebook as it is more popular compared to ChatSnap. The number of daily active users in Fakebook is 40033.",The number of daily active users on Chatsnap could be 39838.,True,Sidharth,False
922,attribute_comparison,area_and_volume,Volume filled is directly proportional to area of the pipe,A professor is explaining to his students how water filled in a container is related to dimensions of the pipe. Professor used two pipes filling their respective well experiment to explain. He set the same velocity of flowing water to the pipe and started observing water filled in the wells at a particular time. The pipe with a larger area has filled 26 liters of water into the well.,Water filled by other pipe could be 19 liters.,True,Saurabh,False
2554,non_numerical,swim_animal,"Camels, giraffes, porcupines, rhinos can't swim. Camels and giraffes are not exposed to such deep water during their lifetime due to their height and hence their physical adaptations were mainly focused on rest.",Graham was learning about animal evolution and was trying to figure out how different land animals have special characteristics like swimming or increased height. He saw that a particular animal cannot swim at all and had a particularly long neck.,The animal could be giraffe.,True,Yamini,True
2464,non_numerical,traffic_sense,"Vehicle should start at green light, halt at red lights, and slow down at yellow lights",Maxwell was riding his bike to go pick his friend up. He saw a yellow signal on the way.,The driver should slow down at the signal,True,Kevin,True
160,attribute_comparison,force_opposite_direction,If force is applied in the opposite direction it decreases the speed of cart,"Mateo is pushing a cart. He is managing to push the cart a speed of 19 units. Then, his friend starts to apply force in the opposite direction.",They could manage to push the cart at a speed of 16.,True,Neeraj,False
3079,non_numerical,rational_and_irrational_numbers,"Any number that can be represented in the form of a fraction is a rational number. Irrational numbers like square root of 2,3 or pi are non recurring and non repeating decimals.",Hayden identified the number pi while calculating perimeter of a circle.,The number could be a rational number.,False,Himanshu,False
2801,non_numerical,helicopter,A helicopter is a vehicle that can fly by rotating its blades at very high speed.,A businessman was traveling via a vehicle that uses rotating blades to fly.,The vehicle could be a car.,False,Saurabh,False
1917,change_with_action,teaching,"In a school that teacher multiple subjects, time devoted to one subject would be less than the time students spend in school",Edward spends 10 hours in the school and studies multiple subjects.,Edward could spend 10 on studying Maths.,False,Neeraj,False
1063,attribute_comparison,diffusion_and_mass,"At higher temperatures, the rate at which fluid particles will diffuse is faster than at lower temperatures.","Ashton loves drinking tea. He noticed that, when tea bags are dipped in hot water, the diffusion of tea particles was found to be different at two different temperature of hot water. The rate of diffusion when temperature is higher is 31 units.",Rate of diffusion in the other bowl of water could be 34 units.,False,Yamini,False
3086,non_numerical,real_and_imaginary_numbers,Any number that can be represented on the real number line is a real number. Some number like square root of -1 cannot be represented on the number line and are called imaginary numbers.,Jonathan is curious math student and learning about number line. He asked his teacher where he can mark the square root of -2 in the line. The teacher answered that the number cannot be represented on the real number line. ,Approximate pi could be a rational number.,True,Himanshu,False
2115,implicit_numerical_knowledge,dice,A dice has 6 faces,Samuel painted all faces of more than 5 dice.,Samuel could have painted 28 faces in total.,False,Neeraj,True
66,attribute_comparison,direct_comparison,Smaller planet has a smaller radius in comparison to a larger planet,Radius of planet A is smaller than that of planet B. 48 units is the radius of planet B,Radius of planet A could be 38 units.,True,Neeraj,True
1638,attribute_comparison,rotation_angle_and_arc_length,The angle enclosed by two points on a circle at the center is directly proportional to the length of the arc between those two points.,There is a circular fence where it has two gates. The angle enclosed by first gate is more than the angle enclosed by the second gate at the center of the fence. The length of the first gate is 48 units.,The length of the other gate could be 46 units.,True,Sivapriya,False
1768,change_with_action,boys_and_girls,There will equal or less number of girls than the total number of students,The number of students in a class is 79.,There could be 67 girls in this class.,True,Neeraj,False
1574,attribute_comparison,height_and_oxygen,The effects of high altitude on humans decreases the saturation of oxyhemoglobin. ,Adam is climbing a mountain where his saturation of oxyhemogobin at the base is 80 units. Adam is facing some breathing issues when he went to the top.,The saturation of oxyhemogoin could be 77 units.,True,Sivapriya,False
811,attribute_comparison,projectile_angle_height,Maximum height reached by an object is directly proportional to the projectile angle at which it is thrown if the initial velocity is constant.,Justin and his sister are trying to pick mangoes from a tree by throwing stones. Justin threw stone with lower projection angle reached height of 47 meters.,Maximum height reached by the stone thrown by Justin's sister could be 39 meters.,False,Saurabh,False
1593,attribute_comparison,number_and_exponent,"Function with a number n(greater than or equal to 1) raised to a power x will have the (n^x) value proportional to the value x. The n^x value varies similar to the x, n^x increases as x increases and decreases as x decreases.",Kayden want to mark the value of n^x for two values of x on the graph. Kayden is calculating the n^x value for x1 and x2 where x1 is less than x2. The value of the function for x1 is 21 units.,The function value of the other input could be 20 units.,False,Sivapriya,False
2293,non_numerical,cars_and_submarines,Vehicles like car and bicycle run on the ground. Vehicles like submarine travel under water.,Judah saw a vehicle that moved underwater while scuba diving in the ocean.,The vehicle could be a car.,False,Himanshu,False
513,attribute_comparison,height_comparison ,Shorter means less higher.,Adam is shorter than his friend. Adam is 179 cms tall.Adam is 179 cms tall and is shorten than his friend.,The height of Adam's friend is 171 cms.,False,Kevin,False
1218,attribute_comparison,solubility_and_gas,The solubility of the gas in a solvent is inversely proportional to temperature.,"To understand the phenomenon of how dissolved oxygen in water is important to the survival of fish, Atlas is studying the solubility of two gases at two different temperature. The temperature of a gas was 240 K when the solubility is higher.",Temperature of the other gas could be 249 K.,True,Yamini,False
599,attribute_comparison,force_and_acceleration,Acceleration of an object is directly proportional to the force applied.,There is a bodybuilding championship and contestants have to push identical objects to show their strength. The runner-up is capable of generating a larger force and is able to push the object with an acceleration of 2242 units.,The winner pushed the object with greater force. The acceleration of the object could be 2240 units.,False,Himanshu,False
2080,implicit_numerical_knowledge,days_in_month,There are 30 days in April,Anthony is training for his soccer match. He has been playing soccer for at least 4 hours daily in April.,"In April, he could have played for 128 hours.",True,Neeraj,True
216,attribute_comparison,legal_age,One is allowed to join the tournament if they satisfy the age criteria,The minimum age to play a tennis tournament is 16 years. Aaron was allowed to play this tournament due to age criteria.,Aaron could be 18 years old.,True,Neeraj,False
2315,non_numerical,fish_and_cow,"Animals like fish, whale and sharks swim under water.",Jonah in a scuba diver and saw an animal moving under water towards him.,The animal could be a cow.,False,Himanshu,False
1112,attribute_comparison,entropy_and_pressure,The entropy of a system decreases with an increase in pressure.,Tyler is studying the entropy of a system with altering pressure. The pressure of the system when entropy of the system is low is 25 Pa,Pressure of the system when entropy is high could be 20 Pa.,True,Yamini,False
439,attribute_comparison,marks_comparisons,"To pass an exam, you need to get at least passing marks.",Carson passed an exam where the passing score was 78.,Carson could have scored 75 marks in that exam.,False,Kevin,False
2071,implicit_numerical_knowledge,continents,There are 7 continents in the world,"During COVID-19 pandemic, a healthcare organization helped all continent by funding at least 4 million dollars.",The organization's budget could be 25 million dollars in total.,False,Neeraj,False
2526,non_numerical,flammable_object,Chemicals with higher flash points are less hazardous than chemicals with lower flash points and water does not have a flash point.,"To clean a rusty old pipe, Richard decided to use a non-hazardous chemical.",The chemical could be water.,True,Yamini,True
2349,non_numerical,amphibians,Desserts are sweet foods that are usually eaten after a meal.,"After the meal, Jordan was offered a complimentary dessert which was served to him.",The taste of the dessert is salty.,False,Kevin,False
1215,attribute_comparison,solubility_and_gas,The solubility of the gas in a solvent is inversely proportional to temperature.,"To understand the phenomenon of how dissolved oxygen in water is important to the survival of fish, Bennett is studying the solubility of gas at two different temperature. The solubility of gas at higher temperature is 49 units.",Solubility of other gas could be 43 units.,False,Yamini,False
1938,implicit_numerical_knowledge,alphabet,English alphabet has 26 letters,A baby is learning to write and takes at least 4 minutes to write a letter.,The baby can master all the letter of the english alphabet in 112 minutes.,True,Neeraj,False
3077,non_numerical,rational_and_irrational_numbers,"Any number that can be represented in the form of a fraction is a rational number. Irrational numbers like square root of 2,3 or pi are non recurring and non repeating decimals.",Samuel identified the number pi while calculating perimeter of a circle.,The number could be a rational number.,False,Himanshu,False
2119,implicit_numerical_knowledge,dice,A dice has 6 faces,Patrick painted all faces of less than 5 dice.,Patrick could have painted 38 faces in total.,False,Neeraj,False
85,attribute_comparison,direct_comparison,bigger circle has larger area,Daniel and his Nancy's both drew a cricle on a paper. Daniel's circle area was 20 sq units and his friend Nancy drew a cricle with larger radius around it.,Area of Nancy's circle could be 20 sq units.,False,Neeraj,False
1028,attribute_comparison,compressibility_and_temperature,Compressibility factor is inversely proportional to temperature at constant pressure and density of the gas.,William is an employee at fire extinguisher manufacturing company. William is asked to learn and observe how the compressibility factor changes at two different temperature for two identical gases. So William compared the compressibility factor and temperature of both the gases to understand the same. The compressibility factor with higher temperature is 17 units.,Compressibility factor of the other gas could be 19 units.,True,Yamini,False
179,attribute_comparison,cover,Cloth needs to be of larger area than the object it needs to cover,Andrew has to cover marble of area 48 units. He wants to cover the marbel with cloth in order to protect it from rain.,A cloth of area 42 units can completely cover the marble.,False,Neeraj,True
17,attribute_comparison,age,Elder person has more age than a younger person,"Abraham has a brother who is older than him, the age of his brother is 26 years old.",Abraham could be 33 years old.,False,Neeraj,False
2444,non_numerical,traffic_sense,"Vehicle should start at green light, halt at red lights, and slow down at yellow lights.",When cycling to his office Miles saw a signal and stopped his bike.,The signal was showing red light.,True,Kevin,True
884,attribute_comparison,speed_and_time,Time taken is inversely proportional to speed,A bike and a car travelled equal distance in a straight line. The speed of the car which took less time to travel is 43 miles/hour.,Speed of the bike could be 33 miles/hour.,True,Saurabh,False
2298,non_numerical,cars_and_trains,Vehicles like car and bicycle run on the ground. Vehicle like train run on rails.,Oliver saw a vehicle travelling on rails from his window.,The vehicle could be a train. ,True,Himanshu,True
461,attribute_comparison,sibling_relationship,Elder sibling is older than younger sibling.,Brandon's elder brother recenetly turned 26 years old this year.,The age of Brandon is 30 years old.,False,Kevin,False
2492,non_numerical,bullet_and_object,Gun powder is the propellant that provides the energy needed to force the bullet out of the barrel and into the target,"In a chemsitry class, Jose was told that a certain material can be used to force a bullet out of the barrel in a gun.",The material could be gun powder.,True,Yamini,True
935,attribute_comparison,area_paint_wall,Volume of paint required is directly proportional to area of the wall.,A restaurant hired a painter to paint two walls in the dining hall. The name of the painter is Gabriel. The painter painted the wall with larger surface area and it required 44 volume of paint.,Volume of paint Gabriel requires to paint the other wall could be 46.,False,Saurabh,False
1312,attribute_comparison,wetting_and_contact_angle,Small contact angles correspond to high wettability.,Finn is working in a car repair shop where wettability is used to prevent corrosion with two different liquids. He found that the effectiveness of two liquids is different and is verifying the change by comparing their contact angles and wettability. The contact angle of the liquid with lower wettability is 41 degrees.,Contact angle of the other liquid could be 32 degrees.,True,Yamini,False
818,attribute_comparison,projectile_angle_height,Maximum height reached by an object is directly proportional to the projectile angle at which it is thrown if the initial velocity is constant.,Jack and his sister are trying to pick mangoes from a tree by throwing stones. Jack threw stone that reached lower height had projection angle of 46 degrees.,Maximum projection angle from which the stone is thrown by Jack's sister could be 49 degrees.,True,Saurabh,False
1009,attribute_comparison,compressibility_and_density,Compressibility factor is inversely proportional to density at constant pressure and temperature of the gas.,Ian is an employee at Fire extinguisher manufacturing industry. Ian is asked to learn and observe how the compressibility factor changes at two different density of two identical gases to know how fairly large mass of a gas can be put in a small metal cylinder by compression. So Ian compared the compressibility factor and density of both the gases to understand the same. The density of the gas with lower compressibility factor is 39 units.,Density of the other gas could be 39 units.,False,Yamini,False
1116,attribute_comparison,entropy_and_volume,An increase in volume will increase the entropy.,Gabriel is studying the entropy of a system with altering volume. The volume of the system when entropy of the system is high is 96 units,Volume of the other system could be 88 units.,True,Yamini,False
526,attribute_comparison,temperature_and_weather ,Colder weather means lower temperature.,Tyler's job is in a far more colder place than where his friend stays. The temperature yesterday dropped to 121 celsius in the city where Tyler lives.,The temperature where Tyler's friend lives could be 114 celsius.,True,Kevin,False
2998,non_numerical,protein_diet,Non vegetarian foods are rich in protein.,Arthur planned to take a diet rich in protein in his daily routine.,The food items to involve in the diet could be fish or meat.,True,Sivapriya,True
1310,attribute_comparison,wetting_and_contact_angle,Small contact angles correspond to high wettability.,"To verify the effectiveness of two liquids, Tyler was comparing their contact angles and wettability. The contact angle of the liquid with higher wettability is 43 degrees.",Contact angle of the other liquid could be 44 degrees.,True,Yamini,False
97,attribute_comparison,direct_comparison,Smaller planet has a smaller radius in comparison to a larger planet,Planet A is smaller in radius that planet B. The radius of planet A is 32 units.,Radius of planet B could be 29 units.,False,Neeraj,False
2583,non_numerical_sg,animals_cant_fly,Birds can fly but animals can't fly.,William went to a pet store to buy a pet. After thinking a lot he wanted a pet that could fly.,The pet could have been a Tiger.,False,Sidharth,False
2094,implicit_numerical_knowledge,working_days,A week has 7 days,Leo recently joined the ACB company and has been going to the office for more than 9 weeks on all days.,Leo could have gone for 67 days.,True,Neeraj,False
2128,implicit_numerical_knowledge,dice,Values in a regular dice range from 1 to 6,Antonio rolled 4 regular dice and calculated the sum on all dice.,Antonio could get 14.,True,Neeraj,True
1515,attribute_comparison,centripetal_acceleration_and_radius,Centripetal acceleration is inversely proportional to radius keeping the velocity constant.,Two objects were rotating around a pole in the circular path with same velocity and the centripetal acceleration of the first object is more than the second object. The first object's radius is 48 units.,The radius of the circular path for the other object could be 56 units.,False,Sivapriya,False
178,attribute_comparison,cover,Cloth needs to be of larger area than the object it needs to cover,Andrew has to cover marble of area 48 units. He wants to cover the marbel with cloth in order to protect it from rain.,A cloth of area 52 units can completely cover the marble.,True,Neeraj,False
1802,change_with_action,buying,If the shopkeeper returns some money then the bill would be less than the amount of money you gave to the shopkeeper,Ian gave 68 dollars to the shopkeeper to buy a book. The shopkeeper returned some money to Ian.,The cost of book could be 60.,True,Neeraj,True
2647,non_numerical_sg,hearing,Hearing songs on loud volume may lead to hearing disabilities.,Justin is fond of listening to music. He listens to music all the time. Over time he observed that because of some reason he has started to hear less from one of his ear.,The reason could be eating too much.,False,Sidharth,False
159,attribute_comparison,family,Family consists of all the members,"Brandon is a person, who is father of  few daughters and 2 sons.",Brandon's could be having 0 kids.,False,Neeraj,False
928,attribute_comparison,radius_and_volume,Volume filled is directly proportional to radius of the pipe,"There are two pipes, both have same speed of water flowing through it. Pipe with a smaller radius has filled 56 liters of water into the well.",Water filled by other pipe could be 61 liters.,True,Saurabh,False
